"1989"	"Lääne county"	33389	0	8079	21307	4003	56.7
"1989"	"..Haapsalu city"	14617	0	3489	9701	1427	50.7
"1989"	"..Hanila rural municipality"	2244	0	547	1388	309	61.7
"1989"	"..Kullamaa rural municipality"	1858	0	291	1243	324	49.5
"1989"	"..Lihula rural municipality"	3376	0	752	2122	502	59.1
"1989"	"..Lääne-Nigula rural municipality"	.	.	.	.	.	.
"1989"	"..Martna rural municipality"	1334	0	333	760	241	75.5
"1989"	"..Noarootsi rural municipality"	923	0	207	558	158	65.4
"1989"	"..Nõva rural municipality"	580	0	137	370	73	56.8
"1989"	"..Oru rural municipality*"	956	0	219	562	175	70.1
"1989"	"..Ridala rural municipality"	3158	0	888	1941	329	62.7
"1989"	"..Risti rural municipality*"	1044	0	251	623	170	67.6
"1989"	"..Taebla rural municipality*"	2959	0	881	1827	251	62.0
"1989"	"..Vormsi rural municipality"	340	0	84	212	44	60.4
"1989"	"Lääne-Viru county"	81755	0	19593	52094	10068	56.9
"1989"	"..Kunda city"	5037	0	1107	3450	480	46.0
"1989"	"..Rakvere city"	19822	0	4117	13171	2534	50.5
"1989"	"..Haljala rural municipality"	3079	0	876	1898	305	62.2
"1989"	"..Kadrina rural municipality"	5869	0	1642	3574	653	64.2
"1989"	"..Laekvere rural municipality"	2156	0	538	1260	358	71.1
"1989"	"..Rakke rural municipality"	2466	0	615	1468	383	68.0
"1989"	"..Rakvere rural municipality"	2649	0	725	1660	264	59.6
"1989"	"..Rägavere rural municipality"	1079	0	270	602	207	79.2
"1989"	"..Sõmeru rural municipality"	3914	0	1095	2402	417	62.9
"1989"	"..Tamsalu rural municipality"	5666	0	1488	3588	590	57.9
"1989"	"..Tapa rural municipality"	13750	0	3238	8911	1601	54.3
"1989"	"..Vihula rural municipality"	2280	0	496	1380	404	65.2
"1989"	"..Vinni rural municipality"	6170	0	1523	3881	766	59.0
"1989"	"..Viru-Nigula rural municipality"	1354	0	276	817	261	65.7
"1989"	"..Väike-Maarja rural municipality"	6464	0	1587	4032	845	60.3
"1989"	"Põlva county"	36238	0	8389	22227	5622	63.0
"1989"	"..Põlva city*"	7038	0	2085	4593	360	53.2
"1989"	"..Ahja rural municipality"	1321	0	288	816	217	61.9
"1989"	"..Kanepi rural municipality"	3096	0	627	1847	622	67.6
"1989"	"..Kõlleste rural municipality"	1236	0	286	707	243	74.8
"1989"	"..Laheda rural municipality"	1465	0	360	848	257	72.8
"1989"	"..Mikitamäe rural municipality"	1432	0	233	826	373	73.4
"1989"	"..Mooste rural municipality"	1839	0	462	1047	330	75.6
"1989"	"..Orava rural municipality"	1111	0	244	608	259	82.7
"1989"	"..Põlva rural municipality"	4049	0	938	2428	683	66.8
"1989"	"..Räpina rural municipality"	6599	0	1331	4314	954	53.0
"1989"	"..Valgjärve rural municipality"	2022	0	434	1177	411	71.8
"1989"	"..Vastse-Kuuste rural municipality"	1293	0	321	750	222	72.4
"1989"	"..Veriora rural municipality"	1955	0	408	1185	362	65.0
"1989"	"..Värska rural municipality"	1782	0	372	1081	329	64.8
"1989"	"Pärnu county"	99720	0	22765	64010	12945	55.8
"1989"	"..Pärnu city"	52389	0	11236	34720	6433	50.9
"1989"	"..Sindi city"	4548	0	943	2968	637	53.2
"1989"	"..Are rural municipality"	1428	0	383	832	213	71.6
"1989"	"..Audru rural municipality"	4539	0	1135	2843	561	59.7
"1989"	"..Halinga rural municipality"	3804	0	1012	2312	480	64.5
"1989"	"..Häädemeeste rural municipality"	3317	0	849	1926	542	72.2
"1989"	"..Kaisma rural municipality*"	648	0	162	380	106	70.5
"1989"	"..Kihnu rural municipality"	558	0	108	353	97	58.1
"1989"	"..Koonga rural municipality"	1595	0	430	945	220	68.8
"1989"	"..Lavassaare rural municipality*"	537	0	115	353	69	52.1
"1989"	"..Paikuse rural municipality"	2473	0	648	1654	171	49.5
"1989"	"..Saarde rural municipality"	6488	0	1410	4198	880	54.5
"1989"	"..Sauga rural municipality"	2019	0	521	1294	204	56.0
"1989"	"..Surju rural municipality"	989	0	246	587	156	68.5
"1989"	"..Tahkuranna rural municipality"	1747	0	417	1074	256	62.7
"1989"	"..Tootsi rural municipality"	1323	0	301	836	186	58.3
"1989"	"..Tori rural municipality"	2635	0	691	1502	442	75.4
"1989"	"..Tõstamaa rural municipality"	1737	0	405	1008	324	72.3
"1989"	"..Varbla rural municipality"	1252	0	265	747	240	67.6
"1989"	"..Vändra rural municipality*"	2735	0	699	1599	437	71.0
"1989"	"..Vändra rural municipality (town)"	2959	0	789	1879	291	57.5
"1989"	"Rapla county"	39539	0	9546	24672	5321	60.3
"1989"	"..Juuru rural municipality"	1682	0	433	1010	239	66.5
"1989"	"..Järvakandi rural municipality"	1807	0	323	1186	298	52.4
"1989"	"..Kaiu rural municipality"	1695	0	474	994	227	70.5
"1989"	"..Kehtna rural municipality"	5194	0	1308	3191	695	62.8
"1989"	"..Kohila rural municipality"	5831	0	1409	3640	782	60.2
"1989"	"..Käru rural municipality"	894	0	209	531	154	68.4
"1989"	"..Märjamaa rural municipality"	8138	0	1951	4971	1216	63.7
"1989"	"..Raikküla rural municipality"	1950	0	507	1125	318	73.3
"1989"	"..Rapla rural municipality"	9957	0	2474	6414	1069	55.2
"1989"	"..Vigala rural municipality"	2391	0	458	1610	323	48.5
"1989"	"Saare county"	39467	0	9379	24771	5317	59.3
"1989"	"..Kuressaare city"	16166	0	4093	10587	1486	52.7
"1989"	"..Kaarma rural municipality*"	3628	0	934	2225	469	63.1
"1989"	"..Kihelkonna rural municipality"	1316	0	298	829	189	58.7
"1989"	"..Kärla rural municipality*"	2311	0	397	1548	366	49.3
"1989"	"..Laimjala rural municipality"	947	0	257	524	166	80.7
"1989"	"..Leisi rural municipality"	2493	0	590	1489	414	67.4
"1989"	"..Lääne-Saare rural municipality"	.	.	.	.	.	.
"1989"	"..Lümanda rural municipality*"	937	0	189	546	202	71.6
"1989"	"..Muhu rural municipality"	2218	0	442	1294	482	71.4
"1989"	"..Mustjala rural municipality"	1046	0	228	652	166	60.4
"1989"	"..Orissaare rural municipality"	2273	0	546	1406	321	61.7
"1989"	"..Pihtla rural municipality"	1576	0	353	936	287	68.4
"1989"	"..Pöide rural municipality"	1057	0	218	620	219	70.5
"1989"	"..Ruhnu rural municipality"	62	0	15	41	6	51.2
"1989"	"..Salme rural municipality"	1315	0	313	835	167	57.5
"1989"	"..Torgu rural municipality"	477	0	97	275	105	73.5
"1989"	"..Valjala rural municipality"	1645	0	409	964	272	70.6
"1989"	"Tartu county"	161813	0	34841	106866	20106	51.4
"1989"	"..Elva city"	6325	0	1351	3963	1011	59.6
"1989"	"..Kallaste city"	1361	0	266	873	222	55.9
"1989"	"..Tartu city"	113420	0	23314	77314	12792	46.7
"1989"	"..Alatskivi rural municipality"	1529	0	296	908	325	68.4
